Date,Min Price,Max Price,Price
2022-02-06,145.0,155.0,150.0
2022-02-07,142.20513531681428,152.69189658382345,147.44851595031886
2022-02-08,140.0,150.0,145.0
2022-02-09,138.93258367185132,150.13362818783338,144.53310592984235
2022-02-10,139.3970848162013,148.88161801344066,144.13935141482096
2022-02-11,140.0,150.0,145.0
2022-02-12,141.42816783807595,149.2873569370415,145.35776238755872
2022-02-13,142.36278191439268,151.18767347282989,146.77522769361127
2022-02-14,143.33207753334338,153.79228494652983,148.5621812399366
2022-02-15,145.0,155.0,150.0
2022-02-16,145.77968881443155,159.67173389980144,152.7257113571165
2022-02-17,147.46049218421138,162.2252419754418,154.8428670798266
2022-02-18,150.0,165.0,157.5
2022-02-19,150.0,165.0,157.5
2022-02-20,155.0,165.0,160.0
2022-02-21,153.8243627417339,164.19364031458335,159.00900152815862
2022-02-22,152.82710571170443,163.20987146387392,158.0184885877892
2022-02-23,152.5,162.5,157.5
2022-02-24,150.0,160.0,155.0
2022-02-25,150.0,160.0,155.0
2022-02-26,150.0,160.0,155.0
2022-02-27,150.0,160.0,155.0
2022-02-28,147.40784024225883,159.28977585903502,153.34880805064694
2022-03-01,145.0,160.0,152.5
2022-03-02,145.0,160.0,152.5
2022-03-03,150.0,160.0,155.0
2022-03-04,149.2010486655013,162.01085713542565,155.60595290046348
2022-03-05,150.15968000793274,163.26208397205934,156.71088198999604
2022-03-06,150.6497717419135,164.2933318739828,157.47155180794815
2022-03-07,150.0,165.0,157.5
2022-03-08,150.0,165.0,157.5
2022-03-09,150.28828185940372,163.2188421379713,156.75356199868753
2022-03-10,150.0,160.0,155.0
2022-03-11,150.0,160.0,155.0
2022-03-12,149.21835511814157,157.2462320986727,153.23229360840713
2022-03-13,149.04742143004947,155.59549277292768,152.3214571014886
2022-03-14,148.97934673206777,154.1995036555408,151.5894251938043
2022-03-15,149.00598855360133,153.04545996132026,151.0257242574608
2022-03-16,149.11920442405508,152.1205569050742,150.61988066456465
2022-03-17,149.3108518728341,151.41198970161093,150.36142078722253
2022-03-18,149.57278842934315,150.9069535657386,150.2398709975409
